State,Label,Current Population,latitude,longitude,PercentPopChg_96,Trend 1996,1996,PercentPopChg_97,Trend 1997,1997,PercentPopChg_98,Trend 1998,1998,PercentPopChg_99,Trend 1999,1999,PercentPopChg_2000,Trend 2000,2000,PercentPopChg_2001,Trend 2001,2001,PercentPopChg_2002,Trend 2002,2002,PercentPopChg_2003,Trend 2003,2003,PercentPopChg_2004,Trend 2004,2004,PercentPopChg_2005,Trend 2005,2005,PercentPopChg_2006,Trend 2006,2006,PercentPopChg_2007,Trend 2007,2007,PercentPopChg_2008,Trend 2008,2008,PercentPopChg_2009,Trend 2009,2009,PercentPopChg_2010,Trend 2010,2010,PercentPopChg_2011,Trend 2011,2011,PercentPopChg_2012,Trend 2012,2012,PercentPopChg_2013,Trend 2013,2013,PercentPopChg_2014,Trend 2014,2014,PercentPopChg_2015,Trend 2015,2015,PercentPopChg_2016,Trend 2016,2016,PercentPopChg_2017,Trend 2017,2017,PercentPopChg_2018,Trend 2018,2018,PercentPopChg_2019,2019,2020,Trend 2019
Mississippi,MS,2976149,32.354668,-89.398528,0.93,Increasing,"$73,814 ",1.05,Increasing,"$76,104 ",1,Increasing,"$79,558 ",0.6,Increasing,"$80,712 ",0.57,Increasing,"$83,599 ",0.13,Increasing,"$87,919 ",0.16,Increasing,"$90,349 ",0.2,Increasing,"$93,079 ",0.34,Increasing,"$96,218 ",0.72,Increasing,"$101,678 ",0.59,Increasing,"$110,023 ",-0.03,Decreasing,"$115,729 ",0.8,Increasing,"$114,208 ",0.37,Increasing,"$110,358 ",0.08,Increasing,"$107,456 ",0.27,Increasing,"$105,229 ",0.17,Increasing,"$104,090 ",0.16,Increasing,"$103,309 ",0.06,Increasing,"$104,321 ",-0.07,Decreasing,"$108,687 ",-0.02,Flat,"$111,529 ",0.02,Increasing,"$115,128 ",-0.25,Decreasing,"$119,272 ",-0.16,"$124,217 ","$127,371 ",Decreasing
Missouri,MO,6137428,37.964253,-91.831833,0.99,Increasing,"$84,025 ",0.91,Increasing,"$87,109 ",0.74,Increasing,"$90,483 ",0.6,Increasing,"$94,635 ",0.6,Increasing,"$100,074 ",0.22,Increasing,"$107,095 ",0.6,Increasing,"$114,216 ",0.6,Increasing,"$121,222 ",0.61,Increasing,"$127,739 ",0.67,Increasing,"$134,058 ",0.74,Increasing,"$139,575 ",0.91,Increasing,"$141,518 ",0.77,Increasing,"$138,346 ",0.63,Increasing,"$132,684 ",0.12,Increasing,"$129,748 ",0.24,Increasing,"$122,143 ",0.23,Increasing,"$119,697 ",0.27,Increasing,"$122,550 ",0.26,Increasing,"$126,364 ",0.26,Increasing,"$130,743 ",0.25,Increasing,"$137,195 ",0.32,Increasing,"$145,378 ",0.24,Increasing,"$154,234 ",0.26,"$161,993 ","$166,494 ",Increasing
Montana,MT,1068778,46.879682,-110.362566,1.11,Increasing,,0.41,Increasing,,0.29,Increasing,,0.4,Increasing,,0.52,Increasing,,0.17,Increasing,,0.35,Increasing,,0.52,Increasing,,0.87,Increasing,,1.13,Increasing,,1.09,Increasing,,1.34,Increasing,,1.26,Increasing,,0.77,Increasing,,0.13,Increasing,,0.66,Increasing,,0.64,Increasing,,0.97,Increasing,,0.81,Increasing,,0.84,Increasing,,1,Increasing,,1.1,Increasing,,0.77,Increasing,,0.76,,n/a,Increasing
Nebraska,NE,1934408,41.492537,-99.901813,1.01,Increasing,"$85,300 ",0.76,Increasing,"$90,003 ",0.56,Increasing,"$94,949 ",0.3,Increasing,"$99,357 ",0.38,Increasing,"$102,273 ",0.15,Increasing,"$105,237 ",0.35,Increasing,"$108,744 ",0.49,Increasing,"$113,514 ",0.6,Increasing,"$119,306 ",0.62,Increasing,"$124,276 ",0.69,Increasing,"$128,090 ",0.64,Increasing,"$129,069 ",0.61,Increasing,"$125,755 ",0.91,Increasing,"$124,213 ",0.18,Increasing,"$125,464 ",0.6,Increasing,"$121,653 ",0.68,Increasing,"$122,013 ",0.64,Increasing,"$127,289 ",0.75,Increasing,"$131,241 ",0.63,Increasing,"$137,504 ",0.75,Increasing,"$143,939 ",0.54,Increasing,"$153,857 ",0.5,Increasing,"$164,082 ",0.45,"$173,122 ","$179,044 ",Increasing
Nevada,NV,3080156,38.80261,-116.419389,5.36,Increasing,"$163,886 ",5.87,Increasing,"$168,118 ",5.05,Increasing,"$172,360 ",3.8,Increasing,"$176,039 ",3.28,Increasing,"$184,477 ",1.03,Increasing,"$195,005 ",3.95,Increasing,"$207,549 ",3.59,Increasing,"$226,488 ",3.45,Increasing,"$283,009 ",4.33,Increasing,"$345,956 ",3.66,Increasing,"$364,636 ",3.72,Increasing,"$343,400 ",3.11,Increasing,"$264,832 ",1.17,Increasing,"$188,992 ",0.06,Increasing,"$163,488 ",0.38,Increasing,"$147,326 ",1.14,Increasing,"$145,186 ",1.15,Increasing,"$179,447 ",1.48,Increasing,"$207,800 ",1.72,Increasing,"$223,866 ",1.74,Increasing,"$241,297 ",1.76,Increasing,"$261,856 ",1.9,Increasing,"$299,448 ",1.71,"$314,299 ","$321,471 ",Increasing
New Hampshire,NH,1359711,43.193852,-71.572395,1.31,Increasing,"$110,599 ",1.48,Increasing,"$115,090 ",1.25,Increasing,"$122,899 ",1.3,Increasing,"$135,058 ",1.33,Increasing,"$152,147 ",1.46,Increasing,"$174,277 ",1.26,Increasing,"$196,985 ",1.08,Increasing,"$223,436 ",0.85,Increasing,"$248,019 ",0.8,Increasing,"$271,497 ",0.65,Increasing,"$279,714 ",0.76,Increasing,"$270,848 ",0.32,Increasing,"$254,488 ",0.01,Flat,"$236,053 ",0.02,Increasing,"$229,362 ",0.26,Increasing,"$222,258 ",0.3,Increasing,"$217,358 ",0.18,Increasing,"$225,436 ",0.5,Increasing,"$234,688 ",0.23,Increasing,"$243,854 ",0.44,Increasing,"$253,280 ",0.48,Increasing,"$268,962 ",0.35,Increasing,"$286,133 ",0.46,"$298,099 ","$310,210 ",Increasing
New Jersey,NJ,8882190,40.058324,-74.405661,0.86,Increasing,"$166,147 ",0.82,Increasing,"$168,502 ",0.85,Increasing,"$173,248 ",0.6,Increasing,"$182,423 ",0.87,Increasing,"$198,214 ",0.85,Increasing,"$218,968 ",0.74,Increasing,"$246,493 ",0.71,Increasing,"$284,519 ",0.57,Increasing,"$323,460 ",0.39,Increasing,"$370,175 ",0.2,Increasing,"$405,291 ",0.11,Increasing,"$399,475 ",0.19,Increasing,"$373,815 ",0.51,Increasing,"$342,150 ",0.08,Increasing,"$330,357 ",0.32,Increasing,"$308,863 ",0.19,Increasing,"$292,825 ",0.14,Increasing,"$297,606 ",0.09,Increasing,"$309,131 ",0.04,Increasing,"$311,830 ",0.03,Increasing,"$315,057 ",0.17,Increasing,"$324,223 ",0.01,Flat,"$338,192 ",-0.04,"$345,647 ","$351,382 ",Decreasing
New Mexico,NM,2096829,34.97273,-105.032363,2.26,Increasing,,1.86,Increasing,,1.28,Increasing,,0.4,Increasing,,0.81,Increasing,,0.73,Increasing,,0.58,Increasing,,1.29,Increasing,,1.2,Increasing,,1.4,Increasing,,1.5,Increasing,,1.55,Increasing,,1.42,Increasing,,1.3,Increasing,,0.26,Increasing,,0.76,Increasing,,0.33,Increasing,,0.24,Increasing,,-0.13,Decreasing,,-0.01,Flat,,0.11,Increasing,,0.01,Flat,,0.05,Increasing,,0.19,,n/a,Increasing
New York,NY,19453561,43.299428,-74.217933,0.35,Increasing,"$118,901 ",0.35,Increasing,"$119,864 ",0.37,Increasing,"$123,589 ",0.2,Increasing,"$129,550 ",0.68,Increasing,"$139,266 ",0.63,Increasing,"$149,964 ",0.43,Increasing,"$163,140 ",0.29,Increasing,"$179,826 ",0.2,Increasing,"$198,286 ",-0.02,Flat,"$219,643 ",-0.2,Decreasing,"$236,969 ",-0.15,Decreasing,"$240,723 ",0.15,Increasing,"$237,304 ",0.49,Increasing,"$225,634 ",0.11,Increasing,"$222,817 ",0.51,Increasing,"$216,678 ",0.38,Increasing,"$212,821 ",0.26,Increasing,"$216,643 ",0.14,Increasing,"$222,633 ",0.02,Increasing,"$226,916 ",-0.11,Decreasing,"$233,238 ",-0.22,Decreasing,"$243,627 ",-0.3,Decreasing,"$256,360 ",-0.39,"$266,738 ","$271,984 ",Decreasing
North Carolina,NC,10488084,35.759573,-79.0193,2.19,Increasing,"$112,438 ",2.12,Increasing,"$118,352 ",2.08,Increasing,"$123,534 ",1.4,Increasing,"$128,479 ",1.8,Increasing,"$134,018 ",1.66,Increasing,"$139,282 ",1.59,Increasing,"$142,206 ",1.41,Increasing,"$144,939 ",1.16,Increasing,"$148,786 ",1.55,Increasing,"$154,935 ",1.78,Increasing,"$164,306 ",2.43,Increasing,"$172,415 ",2.25,Increasing,"$173,442 ",1.51,Increasing,"$166,251 ",0.4,Increasing,"$160,718 ",0.86,Increasing,"$153,342 ",0.94,Increasing,"$149,485 ",0.95,Increasing,"$152,015 ",0.9,Increasing,"$156,697 ",0.98,Increasing,"$161,513 ",1.21,Increasing,"$168,532 ",1.1,Increasing,"$178,936 ",1.09,Increasing,"$190,891 ",1.02,"$202,081 ","$209,429 ",Increasing
North Dakota,ND,762062,47.551493,-101.002012,0.47,Increasing,,0.39,Increasing,,-0.1,Decreasing,,-0.6,Decreasing,,-0.51,Decreasing,,-0.35,Decreasing,,-0.46,Decreasing,,-0.14,Decreasing,,0.1,Increasing,,0.92,Increasing,,0.21,Increasing,,0.52,Increasing,,0.52,Increasing,,1.13,Increasing,,0.32,Increasing,,1.53,Increasing,,2.27,Increasing,,2.89,Increasing,,2.08,Increasing,,2.21,Increasing,,0.05,Increasing,,0.07,Increasing,,0.41,Increasing,,0.52,,n/a,Increasing
Ohio,OH,11689100,40.417287,-82.907123,0.36,Increasing,"$93,595 ",0.31,Increasing,"$97,169 ",0.3,Increasing,"$101,260 ",0.2,Increasing,"$105,383 ",0.16,Increasing,"$110,555 ",0.09,Increasing,"$115,479 ",0.21,Increasing,"$119,205 ",0.18,Increasing,"$123,436 ",0.24,Increasing,"$127,878 ",0.15,Increasing,"$131,824 ",0.1,Increasing,"$134,144 ",0.16,Increasing,"$132,733 ",0.17,Increasing,"$128,337 ",0.12,Increasing,"$121,901 ",0.02,Increasing,"$118,910 ",0.05,Increasing,"$113,082 ",0.04,Increasing,"$110,247 ",0.24,Increasing,"$112,135 ",0.22,Increasing,"$114,630 ",0.13,Increasing,"$119,018 ",0.14,Increasing,"$124,309 ",0.22,Increasing,"$131,890 ",0.14,Increasing,"$140,569 ",0.11,"$148,877 ","$154,443 ",Increasing
Oklahoma,OK,3956971,35.007752,-97.092877,0.96,Increasing,"$65,208 ",0.98,Increasing,"$67,790 ",0.96,Increasing,"$71,725 ",0.6,Increasing,"$75,188 ",0.39,Increasing,"$78,962 ",0.11,Increasing,"$82,957 ",0.37,Increasing,"$86,034 ",0.63,Increasing,"$89,071 ",0.45,Increasing,"$92,297 ",0.58,Increasing,"$96,238 ",0.66,Increasing,"$100,614 ",1.28,Increasing,"$103,935 ",1.12,Increasing,"$105,242 ",1.32,Increasing,"$104,962 ",0.22,Increasing,"$105,829 ",0.75,Increasing,"$103,149 ",0.8,Increasing,"$103,277 ",0.89,Increasing,"$105,646 ",0.64,Increasing,"$108,709 ",0.8,Increasing,"$112,630 ",0.43,Increasing,"$115,778 ",0.13,Increasing,"$119,819 ",0.23,Increasing,"$123,618 ",0.42,"$128,201 ","$133,143 ",Increasing
Oregon,OR,4217737,43.804133,-120.554201,1.97,Increasing,"$135,432 ",1.76,Increasing,"$144,945 ",1.46,Increasing,"$151,163 ",1,Increasing,"$155,679 ",0.81,Increasing,"$161,624 ",0.24,Increasing,"$167,695 ",1.11,Increasing,"$174,909 ",1.31,Increasing,"$184,286 ",0.97,Increasing,"$199,511 ",0.62,Increasing,"$228,949 ",1.23,Increasing,"$271,823 ",1.6,Increasing,"$289,610 ",1.4,Increasing,"$276,507 ",1.06,Increasing,"$248,676 ",0.17,Increasing,"$234,400 ",0.89,Increasing,"$214,832 ",0.69,Increasing,"$212,120 ",0.6,Increasing,"$233,265 ",1.03,Increasing,"$253,069 ",1.31,Increasing,"$272,895 ",1.81,Increasing,"$302,990 ",1.29,Increasing,"$330,552 ",0.91,Increasing,"$352,303 ",0.85,"$365,143 ","$375,428 ",Increasing
Pennsylvania,PA,12801989,41.203322,-77.194525,0.18,Increasing,"$96,533 ",0.06,Increasing,"$97,899 ",0.15,Increasing,"$100,329 ",-0.1,Decreasing,"$102,683 ",0.14,Increasing,"$107,223 ",0.03,Increasing,"$112,846 ",0.12,Increasing,"$119,726 ",0.26,Increasing,"$129,324 ",0.35,Increasing,"$141,530 ",0.29,Increasing,"$157,271 ",0.32,Increasing,"$171,076 ",0.49,Increasing,"$176,708 ",0.42,Increasing,"$175,376 ",0.43,Increasing,"$169,280 ",0.07,Increasing,"$168,521 ",0.27,Increasing,"$161,225 ",0.17,Increasing,"$157,762 ",0.07,Increasing,"$159,509 ",0.09,Increasing,"$162,289 ",-0.03,Decreasing,"$164,991 ",-0.02,Flat,"$169,311 ",0.04,Increasing,"$176,115 ",0.1,Increasing,"$185,843 ",0.01,"$193,806 ","$199,311 ",Flat
Rhode Island,RI,1059361,41.580095,-71.477429,0.1,Increasing,"$128,640 ",0.38,Increasing,"$129,783 ",0.44,Increasing,"$132,678 ",0.3,Increasing,"$139,006 ",0.9,Increasing,"$152,919 ",0.95,Increasing,"$169,380 ",0.65,Increasing,"$197,262 ",0.84,Increasing,"$236,806 ",0.5,Increasing,"$278,590 ",0.3,Increasing,"$315,813 ",-0.62,Decreasing,"$328,391 ",-0.45,Decreasing,"$313,116 ",-0.54,Decreasing,"$289,083 ",-0.13,Decreasing,"$254,602 ",0.09,Increasing,"$251,128 ",-0.03,Decreasing,"$237,545 ",0.09,Increasing,"$225,052 ",0.04,Increasing,"$233,109 ",0.08,Increasing,"$243,611 ",0.01,Flat,"$248,353 ",0.07,Increasing,"$261,304 ",-0.1,Decreasing,"$277,825 ",0.25,Increasing,"$296,823 ",0.1,"$304,637 ","$314,180 ",Increasing
South Carolina,SC,5148714,33.836081,-81.163725,1.17,Increasing,"$97,857 ",1.27,Increasing,"$101,481 ",1.67,Increasing,"$107,741 ",1.2,Increasing,"$113,215 ",1.41,Increasing,"$119,076 ",1.25,Increasing,"$124,533 ",1.01,Increasing,"$127,864 ",1.05,Increasing,"$131,857 ",1.03,Increasing,"$137,757 ",1.46,Increasing,"$147,128 ",1.41,Increasing,"$158,766 ",2.05,Increasing,"$165,027 ",1.98,Increasing,"$163,633 ",1.34,Increasing,"$155,628 ",0.22,Increasing,"$151,107 ",0.78,Increasing,"$143,303 ",0.96,Increasing,"$140,760 ",0.98,Increasing,"$143,087 ",1.23,Increasing,"$148,034 ",1.4,Increasing,"$153,229 ",1.33,Increasing,"$160,387 ",1.26,Increasing,"$168,775 ",1.24,Increasing,"$178,745 ",1.25,"$187,437 ","$192,752 ",Increasing
South Dakota,SD,884659,43.969515,-99.901813,0.98,Increasing,"$84,926 ",0.58,Increasing,"$87,410 ",0.27,Increasing,"$92,510 ",0.3,Increasing,"$105,591 ",0.58,Increasing,"$110,157 ",0.72,Increasing,"$112,213 ",0.28,Increasing,"$115,593 ",0.27,Increasing,"$120,369 ",0.49,Increasing,"$127,388 ",0.87,Increasing,"$136,313 ",0.66,Increasing,"$142,468 ",0.97,Increasing,"$146,828 ",1.1,Increasing,"$150,594 ",0.99,Increasing,"$150,185 ",0.24,Increasing,"$149,143 ",0.9,Increasing,"$148,476 ",1.2,Increasing,"$149,680 ",1.04,Increasing,"$154,782 ",0.8,Increasing,"$160,064 ",0.57,Increasing,"$166,932 ",1.04,Increasing,"$175,461 ",1.13,Increasing,"$185,780 ",0.66,Increasing,"$194,994 ",0.67,"$204,259 ","$210,171 ",Increasing
Tennessee,TN,6829174,35.517491,-86.580447,1.68,Increasing,"$92,436 ",1.52,Increasing,"$97,059 ",1.29,Increasing,"$102,005 ",0.9,Increasing,"$105,536 ",0.9,Increasing,"$109,310 ",0.25,Increasing,"$113,112 ",0.83,Increasing,"$115,731 ",0.78,Increasing,"$118,606 ",0.9,Increasing,"$122,795 ",1.08,Increasing,"$129,915 ",1.36,Increasing,"$138,752 ",1.63,Increasing,"$144,491 ",1.43,Increasing,"$142,372 ",0.94,Increasing,"$136,636 ",0.14,Increasing,"$133,798 ",0.69,Increasing,"$129,085 ",0.85,Increasing,"$127,666 ",0.62,Increasing,"$130,818 ",0.72,Increasing,"$136,004 ",0.76,Increasing,"$141,308 ",0.83,Increasing,"$149,597 ",0.94,Increasing,"$160,446 ",0.93,Increasing,"$172,557 ",0.84,"$182,977 ","$191,179 ",Increasing
Texas,TX,28995881,31.968599,-99.901813,2.01,Increasing,"$98,594 ",2.07,Increasing,"$100,020 ",2.11,Increasing,"$102,978 ",1.7,Increasing,"$107,442 ",1.43,Increasing,"$111,977 ",0.44,Increasing,"$113,384 ",1.79,Increasing,"$116,092 ",1.74,Increasing,"$119,460 ",1.57,Increasing,"$126,203 ",1.65,Increasing,"$132,083 ",1.72,Increasing,"$136,648 ",2.55,Increasing,"$141,864 ",2.02,Increasing,"$141,232 ",2.03,Increasing,"$138,080 ",0.38,Increasing,"$137,412 ",1.57,Increasing,"$132,933 ",1.68,Increasing,"$133,833 ",1.49,Increasing,"$141,339 ",1.8,Increasing,"$152,294 ",1.84,Increasing,"$164,054 ",1.59,Increasing,"$175,460 ",1.35,Increasing,"$187,163 ",1.16,Increasing,"$198,171 ",1.27,"$207,613 ","$212,043 ",Increasing
Utah,UT,3205958,39.32098,-111.093731,2.67,Increasing,"$162,897 ",2.51,Increasing,"$167,887 ",2.18,Increasing,"$172,217 ",1.4,Increasing,"$173,501 ",1.35,Increasing,"$180,016 ",0.51,Increasing,"$185,414 ",1.75,Increasing,"$186,614 ",1.8,Increasing,"$186,771 ",1.52,Increasing,"$189,654 ",1.76,Increasing,"$194,698 ",2.34,Increasing,"$216,260 ",2.76,Increasing,"$250,164 ",2.86,Increasing,"$251,978 ",2.27,Increasing,"$227,567 ",0.41,Increasing,"$214,029 ",1.39,Increasing,"$198,376 ",1.37,Increasing,"$200,883 ",1.53,Increasing,"$223,637 ",1.34,Increasing,"$236,819 ",1.51,Increasing,"$249,163 ",1.97,Increasing,"$269,180 ",1.91,Increasing,"$294,515 ",1.67,Increasing,"$323,136 ",1.63,"$347,876 ","$361,473 ",Increasing
Vermont,VT,623989,44.558803,-72.577841,0.8,Increasing,"$108,962 ",0.6,Increasing,"$110,121 ",0.53,Increasing,"$115,075 ",0.5,Increasing,"$122,190 ",0.69,Increasing,"$131,719 ",0.13,Increasing,"$142,307 ",0.43,Increasing,"$154,199 ",0.53,Increasing,"$166,752 ",0.39,Increasing,"$185,908 ",0.33,Increasing,"$208,598 ",0.21,Increasing,"$228,367 ",0.27,Increasing,"$238,766 ",0.09,Increasing,"$240,263 ",0.11,Increasing,"$234,414 ",0.02,Increasing,"$231,041 ",0.19,Increasing,"$230,618 ",-0.15,Decreasing,"$229,831 ",0.02,Increasing,"$229,745 ",-0.16,Decreasing,"$229,830 ",0,Flat,"$232,005 ",-0.25,Decreasing,"$234,331 ",0.11,Increasing,"$241,497 ",0,Flat,"$252,061 ",-0.06,"$260,675 ","$266,352 ",Decreasing
Virginia,VA,8535519,37.431573,-78.656894,1.2,Increasing,"$122,372 ",1.16,Increasing,"$123,854 ",1.05,Increasing,"$126,985 ",1.2,Increasing,"$131,964 ",1.12,Increasing,"$140,923 ",0.39,Increasing,"$152,576 ",1.3,Increasing,"$166,729 ",1.23,Increasing,"$184,370 ",1.1,Increasing,"$213,794 ",1.47,Increasing,"$258,361 ",1.36,Increasing,"$288,459 ",1.28,Increasing,"$287,422 ",1.01,Increasing,"$267,152 ",1.18,Increasing,"$246,347 ",0.28,Increasing,"$241,856 ",0.96,Increasing,"$233,595 ",1.03,Increasing,"$232,579 ",0.82,Increasing,"$240,663 ",0.7,Increasing,"$247,775 ",0.61,Increasing,"$251,701 ",0.57,Increasing,"$256,920 ",0.63,Increasing,"$266,648 ",0.44,Increasing,"$276,059 ",0.4,"$286,500 ","$293,064 ",Increasing
Washington,WA,7614893,47.751074,-120.740139,1.62,Increasing,"$143,726 ",1.89,Increasing,"$150,518 ",1.67,Increasing,"$160,699 ",1.2,Increasing,"$171,136 ",0.88,Increasing,"$182,320 ",0.28,Increasing,"$191,518 ",1.27,Increasing,"$199,663 ",1.11,Increasing,"$209,573 ",0.86,Increasing,"$228,543 ",1.22,Increasing,"$263,222 ",1.27,Increasing,"$307,106 ",1.81,Increasing,"$326,328 ",1.43,Increasing,"$309,722 ",1.6,Increasing,"$276,892 ",0.27,Increasing,"$261,918 ",1.23,Increasing,"$238,308 ",1.02,Increasing,"$230,851 ",0.96,Increasing,"$252,154 ",1.29,Increasing,"$270,584 ",1.52,Increasing,"$291,286 ",1.8,Increasing,"$321,934 ",1.73,Increasing,"$357,934 ",1.34,Increasing,"$394,638 ",1.2,"$411,834 ","$434,222 ",Increasing
West Virginia,WV,1792147,38.597626,-80.454903,0.18,Increasing,"$60,989 ",-0.05,Decreasing,"$62,589 ",-0.2,Decreasing,"$63,951 ",-0.3,Decreasing,"$64,574 ",-0.21,Decreasing,"$66,539 ",-0.26,Decreasing,"$70,322 ",-0.31,Decreasing,"$72,615 ",0.22,Increasing,"$75,637 ",0.38,Increasing,"$80,416 ",0.23,Increasing,"$86,887 ",0.22,Increasing,"$90,734 ",0.41,Increasing,"$92,787 ",0.34,Increasing,"$93,468 ",0.41,Increasing,"$90,900 ",0.07,Increasing,"$89,090 ",0.11,Increasing,"$87,802 ",0.03,Increasing,,-0.16,Decreasing,"$89,625 ",-0.24,Decreasing,"$91,795 ",-0.4,Decreasing,"$94,229 ",-0.6,Decreasing,"$96,593 ",-0.77,Decreasing,"$98,629 ",-0.7,Decreasing,"$102,231 ",-0.68,"$105,444 ","$106,928 ",Decreasing
Wisconsin,WI,5822434,43.78444,-88.787868,0.87,Increasing,"$100,974 ",0.69,Increasing,"$105,493 ",0.6,Increasing,"$109,088 ",0.5,Increasing,"$114,757 ",0.58,Increasing,"$121,228 ",0.19,Increasing,"$128,068 ",0.61,Increasing,"$135,115 ",0.71,Increasing,"$143,580 ",0.63,Increasing,"$155,505 ",0.64,Increasing,"$167,222 ",0.58,Increasing,"$174,075 ",0.57,Increasing,"$175,571 ",0.59,Increasing,"$171,179 ",0.5,Increasing,"$161,665 ",0.06,Increasing,"$157,717 ",0.26,Increasing,"$147,081 ",0.26,Increasing,,0.29,Increasing,"$146,354 ",0.26,Increasing,"$152,656 ",0.16,Increasing,"$156,871 ",0.2,Increasing,"$163,986 ",0.3,Increasing,"$175,076 ",0.3,Increasing,"$187,174 ",0.26,"$197,321 ","$204,311 ",Increasing
Wyoming,WY,578759,43.075968,-107.290284,0.62,Increasing,,0.26,Increasing,,0.27,Increasing,,-0.1,Decreasing,,0.41,Increasing,,0.1,Increasing,,0.07,Increasing,,1.08,Increasing,,0.69,Increasing,,1.12,Increasing,,0.99,Increasing,,1.66,Increasing,,2.34,Increasing,,2.53,Increasing,,0.13,Increasing,,0.5,Increasing,,1.56,Increasing,,1,Increasing,,0.07,Increasing,,0.53,Increasing,,-0.24,Decreasing,,-0.91,Decreasing,,-0.23,Decreasing,,0.2,,n/a,Increasing
,,,,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,Flat,,,,,Flat
