ID,State,2014,2015,2016,2017,2018,2019,2020
0,Federal (FLSA),7.25,7.25,7.25,7.25,7.25,7.25,7.25
1,Alabama,7.25,7.25,7.25,7.25,7.25,7.25,7.25
2,Alaska,7.75,8.75,9.75,9.8,9.84,10.19,10.19
3,Arizona,7.9,8.05,8.05,10,10.5,12,12
4,Arkansas,6.25,7.5,8,8.5,9.25,10,10
5,California,9,9,10,10,11,12,13
6,Colorado,8,8.23,8.31,9.3,10.2,12,12
7,Connecticut,8.7,9.15,9.6,10.1,10.1,11,11
8,Delaware,7.75,8.25,8.25,8.25,8.25,9.25,9.25
9,District of Columbia,9.5,10.5,11.5,11.5,13.25,14,14
10,Florida,7.93,8.05,8.05,8.1,8.25,8.56,8.56
11,Georgia,5.15,5.15,5.15,5.15,5.15,5.15,5.15
12,Hawaii,7.25,7.75,8.5,9.25,10.1,10.1,10.1
13,Idaho,7.25,7.25,7.25,7.25,7.25,7.25,7.25
14,Illinois,8.25,8.25,8.25,8.25,8.25,9.25,9.25
15,Indiana,7.25,7.25,7.25,7.25,7.25,7.25,7.25
16,Iowa,7.25,7.25,7.25,7.25,7.25,7.25,7.25
17,Kansas,7.25,7.25,7.25,7.25,7.25,7.25,7.25
18,Kentucky,7.25,7.25,7.25,7.25,7.25,7.25,7.25
19,Louisiana,7.25,7.25,7.25,7.25,7.25,7.25,7.25
20,Maine,7.5,7.5,7.5,9,10,12,12
21,Maryland,7.25,8.25,8.75,8.75,10.1,11,11
22,Massachusetts,8,9,10,11,11,12.75,12.75
23,Michigan,8.15,8.15,8.5,8.9,9.25,9.65,9.65
24,Minnesota,8,9,9.5,9.5,9.86,10,10
25,Mississippi,7.25,7.25,7.25,7.25,7.25,7.25,7.25
26,Missouri,7.5,7.65,7.65,7.7,7.85,9.45,9.45
27,Montana,7.9,8.05,8.05,8.15,8.3,8.65,8.65
28,Nebraska,7.25,8,9,9,9,9,9
29,Nevada,8.25,8.25,8.25,8.25,8.25,8.25,7.25
30,New Hampshire,7.25,7.25,7.25,7.25,7.25,7.25,7.25
31,New Jersey,8.25,8.38,8.38,8.44,8.6,11,11
32,New Mexico,7.5,7.5,7.5,7.5,7.5,9,9
33,New York,8,8.75,9,9.7,10.4,11.8,11.8
34,North Carolina,7.25,7.25,7.25,7.25,7.25,7.25,7.25
35,North Dakota,7.25,7.25,7.25,7.25,7.25,7.25,7.25
36,Ohio,7.95,8.1,8.1,8.15,8.3,8.7,8.7
37,Oklahoma,7.25,7.25,7.25,7.25,7.25,7.25,7.25
38,Oregon,9.1,9.25,9.75,9.75,10.75,11.25,11.25
39,Pennsylvania,7.25,7.25,7.25,7.25,7.25,7.25,7.25
40,Rhode Island,8,9,9.6,9.6,10.1,10.5,10.5
41,South Carolina,7.25,7.25,7.25,7.25,7.25,7.25,7.25
42,South Dakota,7.25,8.5,8.55,8.65,8.85,9.3,9.3
43,Tennessee,7.25,7.25,7.25,7.25,7.25,7.25,7.25
44,Texas,7.25,7.25,7.25,7.25,7.25,7.25,7.25
45,Utah,7.25,7.25,7.25,7.25,7.25,7.25,7.25
46,Vermont,8.73,9.15,9.6,10,10.5,10.96,10.96
47,Virginia,7.25,7.25,7.25,7.25,7.25,7.25,7.25
48,Washington,9.32,9.47,9.47,11,11.5,13.5,13.5
49,West Virginia,7.25,8,8.75,8.75,8.75,8.75,8.75
50,Wisconsin,7.25,7.25,7.25,7.25,7.25,7.25,7.25
51,Wyoming,5.15,5.15,5.15,5.15,5.15,5.15,5.15